N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
70,에코프로머티,"76,300",보합0,0.00%,500,"53,211","69,739",25.61,"417,182",-157.64,0.91,
71,코웨이,"70,000","상승
				100",+0.14%,500,"51,660","73,800",59.96,"197,542",9.17,19.03,
72,한국항공우주,"52,200","하락
				500",-0.95%,"5,000","50,882","97,475",33.92,"444,347",17.56,14.81,
73,맥쿼리인프라,"10,440","상승
				80",+0.77%,0,"49,999","478,922",9.90,"1,190,567",N/A,N/A,
74,한국타이어앤테크놀로지,"40,250","상승
				200",+0.50%,500,"49,860","123,875",37.60,"207,377",4.00,7.85,
75,LIG넥스원,"223,000","상승
				500",+0.22%,"5,000","49,060","22,000",25.28,"226,554",24.65,17.61,
76,LG생활건강,"301,000","하락
				5,000",-1.63%,"5,000","47,011","15,618",27.87,"47,090",34.94,2.65,
77,두산,"284,000","하락
				5,500",-1.90%,"5,000","46,928","16,524",14.65,"83,925",-18.87,-22.74,
78,미래에셋증권,"8,010","하락
				140",-1.72%,"5,000","46,884","585,316",13.39,"645,723",11.28,2.97,
79,삼성카드,"39,950","상승
				50",+0.13%,"5,000","46,286","115,859",6.55,"47,215",6.51,7.61,
80,KODEX 머니마켓액티브,"101,695","상승
				10",+0.01%,0,"45,902","45,137",0.00,"140,580",N/A,N/A,
81,LG유플러스,"10,460","상승
				10",+0.10%,"5,000","45,670","436,611",35.74,"548,918",8.57,7.49,
